Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender
CMP16,Deal of the Day,Influencer Marketing,2022-12-12,2024-08-22,7153.6,4360,20.8,5106.656,8717.104,Baia Mare,45-54,Male
CMP17,Flash Sale Frenzy,Social Media,2022-06-18,2024-03-09,79350.4,40524.8,36595.2,3631.536,11076.592,Bacău,35-44,Female
CMP18,Flash Sale Frenzy,Social Media,2022-10-25,2024-07-13,48793.6,30496,3577.6,6488.288,19607.952,Galați,55+,Female
CMP19,Shop & Share,Email,2022-08-20,2024-04-23,52612.8,14624,2571.2,4529.312,18104.72,Baia Mare,45-54,Male
CMP20,Shop & Share,Email,2022-11-27,2024-07-28,71241.6,17339.2,2238.4,6193.296,16694.144,Galați,45-54,Female
CMP21,Cart to Couch,Email,2022-11-28,2024-08-18,62779.2,10782.4,3782.4,575.872,1391.92,Târgu Mureș,55+,Male
CMP22,Deal of the Day,Social Media,2022-12-19,2024-08-22,56281.6,21192,18920,6141.296,23638.8,Baia Mare,35-44,Female
CMP23,Shop & Share,Paid Ads,2022-10-27,2024-06-25,45427.2,20198.4,764.8,274.032,932.064,Târgu Mureș,35-44,Male
CMP24,Deal of the Day,Paid Ads,2023-01-20,2024-09-20,22196.8,20416,15408,3144.064,11309.744,Baia Mare,35-44,Male
CMP25,Cart to Couch,Influencer Marketing,2023-02-19,2024-11-07,54289.6,33793.6,19043.2,3723.936,14057.808,Suceava,18-24,Male
CMP26,Cart to Couch,Paid Ads,2022-07-07,2024-03-07,55606.4,7427.2,2193.6,6996.736,14646.368,Galați,55+,Female
CMP27,Cart to Couch,Email,2023-03-01,2024-10-28,73024,70976,68337.6,2101.456,3769.68,Galați,25-34,Female
CMP28,Flash Sale Frenzy,Social Media,2022-12-25,2024-08-30,40072,5265.6,3145.6,1856.912,2793.712,Târgu Mureș,55+,Male
CMP29,Deal of the Day,Paid Ads,2022-07-16,2024-03-21,79264,29158.4,17120,6980.944,17293.088,Bacău,35-44,Female
CMP30,Shop & Share,Email,2022-06-10,2024-02-16,58644.8,45990.4,37137.6,3485.408,10232.656,Baia Mare,25-34,Male
CMP31,Cart to Couch,Social Media,2023-02-07,2024-10-22,32249.6,22425.6,5841.6,4420.928,9654.288,Suceava,18-24,Male
CMP32,Flash Sale Frenzy,Paid Ads,2022-12-07,2024-08-07,42822.4,34635.2,33246.4,4084.48,15225.328,Galați,25-34,Male
CMP33,Cart to Couch,Influencer Marketing,2023-02-22,2024-11-13,9080,4478.4,1833.6,4510.736,5924.912,Baia Mare,55+,Female
CMP34,Flash Sale Frenzy,Influencer Marketing,2022-05-15,2024-01-27,44702.4,17478.4,790.4,2041.584,4426.832,Galați,35-44,Male
CMP35,Wishlist Wonders,Social Media,2022-10-06,2024-06-24,3960,3411.2,2888,3153.312,11242.832,Baia Mare,45-54,Female
CMP36,Wishlist Wonders,Social Media,2022-08-24,2024-05-11,11288,4686.4,1595.2,1040.304,2510.96,Baia Mare,35-44,Male
CMP37,Shop & Share,Social Media,2023-02-21,2024-10-26,44769.6,7913.6,7825.6,2948.704,9967.488,Târgu Mureș,55+,Male
CMP38,Deal of the Day,Email,2022-05-23,2024-01-31,59278.4,45878.4,10750.4,4452.464,14085.04,Suceava,18-24,Female
CMP39,Seasonal Steals,Influencer Marketing,2023-02-26,2024-10-21,6028.8,3998.4,2931.2,5464.112,19566.464,Suceava,25-34,Female
CMP40,Deal of the Day,Influencer Marketing,2022-12-30,2024-09-15,61148.8,13182.4,10878.4,4695.696,15960.544,Târgu Mureș,25-34,Male
CMP41,Cart to Couch,Social Media,2022-09-05,2024-05-18,21875.2,8385.6,819.2,7198.864,20943.952,Suceava,35-44,Female
CMP42,Shop & Share,Paid Ads,2022-05-26,2024-02-15,59494.4,45912,993.6,6182.496,21350.032,Baia Mare,45-54,Female
CMP43,Wishlist Wonders,Email,2023-01-31,2024-09-28,31840,2931.2,601.6,6666.944,20824.016,Galați,25-34,Male
CMP44,Shop & Share,Social Media,2022-08-08,2024-04-21,79616,44310.4,39454.4,6912.896,14296.128,Galați,18-24,Male
CMP45,Deal of the Day,Social Media,2022-07-01,2024-03-16,55009.6,29523.2,13841.6,624.96,1763.328,Baia Mare,35-44,Male
CMP46,Shop & Share,Influencer Marketing,2023-01-09,2024-09-04,38636.8,10345.6,2990.4,554.16,888.496,Suceava,45-54,Male
CMP47,Seasonal Steals,Influencer Marketing,2022-10-16,2024-06-11,60272,33368,10921.6,4179.008,11902.624,Suceava,35-44,Male
CMP48,Wishlist Wonders,Influencer Marketing,2022-09-22,2024-06-01,21476.8,17140.8,12424,5163.264,7496.144,Suceava,55+,Female
CMP49,Deal of the Day,Email,2022-05-18,2024-01-09,70920,9288,3756.8,6028.48,14868.416,Bacău,55+,Male
CMP50,Seasonal Steals,Paid Ads,2022-09-29,2024-06-04,8694.4,3724.8,2020.8,503.744,1726.304,Galați,18-24,Male
CMP51,Flash Sale Frenzy,Social Media,2022-07-07,2024-03-08,36246.4,18328,1284.8,3681.424,9090.544,Târgu Mureș,35-44,Female
CMP52,Wishlist Wonders,Paid Ads,2022-12-16,2024-09-02,45992,40001.6,26392,4945.104,16891.152,Bacău,45-54,Male
CMP53,Deal of the Day,Social Media,2022-07-02,2024-03-14,11459.2,8475.2,22.4,7412.112,10573.52,Târgu Mureș,18-24,Male
CMP54,Cart to Couch,Social Media,2022-10-09,2024-06-25,8267.2,5008,651.2,5518.304,15205.328,Baia Mare,35-44,Female
CMP55,Deal of the Day,Influencer Marketing,2022-12-26,2024-09-05,20596.8,7659.2,2545.6,251.776,708.288,Galați,25-34,Male
CMP56,Wishlist Wonders,Email,2022-05-25,2024-01-26,25542.4,9393.6,4537.6,5560.816,21179.584,Galați,25-34,Male
CMP57,Seasonal Steals,Social Media,2023-03-04,2024-11-16,39273.6,29331.2,238.4,5795.6,11529.328,Târgu Mureș,35-44,Female
CMP58,Flash Sale Frenzy,Influencer Marketing,2022-10-17,2024-06-20,20720,2643.2,2129.6,5311.312,20086.832,Galați,45-54,Male
CMP59,Flash Sale Frenzy,Email,2022-09-26,2024-06-11,44851.2,6600,1470.4,1078.528,2127.888,Baia Mare,45-54,Male
CMP60,Wishlist Wonders,Email,2022-12-05,2024-08-25,44569.6,39780.8,23590.4,5372.848,17645.408,Suceava,45-54,Male
CMP61,Flash Sale Frenzy,Social Media,2022-05-15,2024-02-01,23411.2,17531.2,14062.4,3368.464,4092.112,Suceava,25-34,Female
CMP62,Deal of the Day,Influencer Marketing,2023-01-26,2024-10-14,79411.2,8710.4,3376,4245.024,12052.704,Galați,55+,Male
CMP63,Flash Sale Frenzy,Email,2023-02-05,2024-10-24,13120,3486.4,1056,1823.328,2396.816,Suceava,45-54,Female
CMP64,Cart to Couch,Paid Ads,2023-03-03,2024-11-17,34080,30784,16448,5055.808,11400.256,Baia Mare,25-34,Female
CMP65,Seasonal Steals,Paid Ads,2022-08-28,2024-05-18,47889.6,24296,21137.6,5872.496,7368.944,Suceava,55+,Male
CMP66,Wishlist Wonders,Paid Ads,2023-01-08,2024-09-03,75641.6,22774.4,377.6,7021.36,13144.208,Galați,35-44,Female
CMP67,Wishlist Wonders,Email,2022-06-21,2024-02-18,18787.2,13897.6,2268.8,7290.128,22887.968,Galați,45-54,Male
CMP68,Wishlist Wonders,Paid Ads,2022-08-07,2024-04-11,31948.8,12446.4,1216,3223.28,8304.864,Bacău,25-34,Male
CMP69,Wishlist Wonders,Influencer Marketing,2022-10-10,2024-06-27,54358.4,27353.6,12755.2,2913.536,9402.24,Suceava,25-34,Female
CMP70,Shop & Share,Email,2022-06-27,2024-03-13,16987.2,9499.2,1694.4,2429.552,6394.688,Suceava,35-44,Male
CMP71,Flash Sale Frenzy,Social Media,2022-07-15,2024-03-19,48096,44819.2,21297.6,7853.328,30497.584,Galați,55+,Male
CMP72,Deal of the Day,Paid Ads,2022-06-18,2024-02-25,7985.6,2928,1273.6,3104.848,12219.696,Galați,35-44,Female
CMP73,Cart to Couch,Paid Ads,2023-02-27,2024-11-04,56998.4,9363.2,950.4,3770.624,9570.608,Suceava,45-54,Male
CMP74,Cart to Couch,Influencer Marketing,2022-08-17,2024-04-14,44379.2,12782.4,6790.4,2069.536,3148.976,Galați,55+,Male
CMP75,Wishlist Wonders,Email,2022-08-04,2024-04-20,78080,65792,24940.8,3560.832,12793.072,Suceava,25-34,Male
CMP76,Deal of the Day,Influencer Marketing,2023-03-05,2024-10-26,42163.2,36440,7358.4,5052.352,14856.544,Suceava,45-54,Male
CMP77,Deal of the Day,Influencer Marketing,2022-07-28,2024-04-18,22734.4,19936,3859.2,4861.872,19308.016,Suceava,35-44,Male
CMP78,Shop & Share,Social Media,2022-10-26,2024-06-19,25409.6,10139.2,6958.4,7234.416,17080.544,Galați,18-24,Male
CMP79,Seasonal Steals,Email,2022-11-24,2024-07-26,18918.4,2984,1112,5787.104,14901.152,Târgu Mureș,35-44,Female
CMP80,Seasonal Steals,Social Media,2023-02-18,2024-10-27,43420.8,36108.8,8996.8,6136.08,13819.68,Baia Mare,45-54,Female
CMP81,Seasonal Steals,Email,2022-11-07,2024-07-03,62304,3755.2,537.6,6057.168,7809.008,Târgu Mureș,45-54,Male
CMP82,Shop & Share,Paid Ads,2022-12-25,2024-09-11,78168,38168,2283.2,4801.28,12214.08,Galați,55+,Male
CMP83,Seasonal Steals,Paid Ads,2022-08-28,2024-05-05,52144,31788.8,18432,4831.264,19119.856,Baia Mare,25-34,Female
CMP84,Seasonal Steals,Influencer Marketing,2023-02-09,2024-10-28,12747.2,6064,2462.4,1511.568,3944.176,Târgu Mureș,45-54,Male
CMP85,Wishlist Wonders,Paid Ads,2023-02-03,2024-10-21,46932.8,19675.2,6928,2874.864,4970.784,Baia Mare,18-24,Male
CMP86,Cart to Couch,Email,2022-07-17,2024-03-09,54475.2,14777.6,8174.4,7531.216,19521.408,Suceava,35-44,Female
CMP87,Shop & Share,Influencer Marketing,2023-01-04,2024-08-27,45742.4,308.8,118.4,2108.896,7506.832,Galați,45-54,Male
CMP88,Seasonal Steals,Email,2022-10-19,2024-06-29,21352,3310.4,1020.8,904.816,1432.48,Bacău,18-24,Male
CMP89,Seasonal Steals,Paid Ads,2023-02-28,2024-11-18,55739.2,49657.6,21342.4,3393.088,12190.768,Galați,45-54,Male
CMP90,Cart to Couch,Social Media,2023-01-02,2024-09-20,31265.6,10481.6,6766.4,6539.504,11561.2,Baia Mare,45-54,Male
CMP91,Wishlist Wonders,Email,2022-05-12,2024-01-18,77721.6,29940.8,2846.4,7171.088,12262.704,Suceava,25-34,Female
CMP92,Shop & Share,Influencer Marketing,2022-12-14,2024-08-08,3780.8,2443.2,822.4,931.472,2357.472,Târgu Mureș,55+,Female
CMP93,Flash Sale Frenzy,Paid Ads,2022-11-11,2024-07-14,17217.6,15728,2636.8,1985.968,2679.376,Galați,25-34,Male
CMP94,Shop & Share,Influencer Marketing,2022-10-21,2024-07-11,75099.2,53721.6,14304,7961.072,28582.064,Galați,45-54,Female
CMP95,Seasonal Steals,Email,2022-11-26,2024-08-08,39576,7590.4,6464,5860.048,14745.264,Galați,18-24,Female
CMP96,Wishlist Wonders,Influencer Marketing,2023-01-01,2024-08-26,76529.6,59977.6,12396.8,1351.44,1668.624,Târgu Mureș,25-34,Male
CMP97,Flash Sale Frenzy,Paid Ads,2022-06-15,2024-03-06,69201.6,48073.6,16912,7676.752,17207.824,Galați,35-44,Female
CMP98,Shop & Share,Influencer Marketing,2023-02-08,2024-10-22,52396.8,12156.8,11579.2,4499.232,14719.984,Bacău,45-54,Female
CMP99,Wishlist Wonders,Influencer Marketing,2022-06-17,2024-03-04,44478.4,1926.4,441.6,1380.816,2468.48,Suceava,25-34,Female
CMP100,Deal of the Day,Influencer Marketing,2022-11-30,2024-07-26,6945.6,2128,2028.8,3509.504,7428.784,Bacău,35-44,Male
CMP101,Deal of the Day,Paid Ads,2022-10-12,2024-06-06,5004.8,2182.4,19.2,2551.488,7986.896,Bacău,55+,Female
CMP102,Flash Sale Frenzy,Influencer Marketing,2022-12-12,2024-08-28,19878.4,14368,4857.6,7174.8,28108.576,Târgu Mureș,45-54,Male
CMP103,Shop & Share,Email,2022-11-27,2024-08-10,63246.4,33163.2,18712,5816.336,12764.048,Baia Mare,55+,Male
CMP104,Shop & Share,Email,2022-10-29,2024-06-23,48364.8,20800,13102.4,324.864,632.896,Suceava,35-44,Male
CMP105,Shop & Share,Email,2022-08-12,2024-04-24,39297.6,33660.8,13484.8,3494.736,12373.68,Baia Mare,25-34,Male
CMP106,Wishlist Wonders,Email,2022-05-18,2024-01-09,30819.2,22252.8,17608,1890.688,5092.832,Suceava,18-24,Male
CMP107,Wishlist Wonders,Influencer Marketing,2022-08-30,2024-05-19,7387.2,408,164.8,7346.048,9234.912,Suceava,18-24,Female
CMP108,Deal of the Day,Email,2022-06-01,2024-02-21,67809.6,33475.2,31009.6,2363.248,7268.176,Baia Mare,18-24,Male
CMP109,Shop & Share,Influencer Marketing,2022-06-13,2024-02-22,18051.2,16305.6,12868.8,6774.832,15144.352,Baia Mare,18-24,Male
CMP110,Cart to Couch,Email,2023-03-01,2024-11-09,37153.6,34244.8,32267.2,7247.632,17878.48,Bacău,45-54,Female
CMP111,Deal of the Day,Influencer Marketing,2023-02-01,2024-10-09,53676.8,1627.2,1150.4,4628.144,7853.552,Suceava,18-24,Male
CMP112,Wishlist Wonders,Influencer Marketing,2023-02-02,2024-10-22,42980.8,15252.8,5744,6521.968,13433.936,Târgu Mureș,25-34,Male
CMP113,Shop & Share,Paid Ads,2022-10-03,2024-06-16,57070.4,22198.4,7563.2,2489.936,6512.832,Galați,18-24,Male
CMP114,Flash Sale Frenzy,Social Media,2022-05-24,2024-01-18,77916.8,38212.8,619.2,3117.936,6080.768,Galați,45-54,Female
CMP115,Flash Sale Frenzy,Influencer Marketing,2022-05-25,2024-02-07,50622.4,31958.4,7756.8,5649.344,10538.544,Baia Mare,45-54,Male
CMP116,Deal of the Day,Paid Ads,2022-09-25,2024-05-28,25553.6,12312,11579.2,5853.344,18178.8,Bacău,18-24,Male
CMP117,Shop & Share,Paid Ads,2022-06-14,2024-02-24,41076.8,2761.6,2750.4,5731.824,20439.264,Târgu Mureș,18-24,Female
CMP118,Shop & Share,Paid Ads,2022-11-08,2024-07-23,45347.2,20232,8484.8,1885.76,5564.72,Bacău,45-54,Male
CMP119,Cart to Couch,Email,2022-10-09,2024-06-09,73038.4,71403.2,50574.4,7579.728,12131.344,Târgu Mureș,35-44,Female
CMP120,Shop & Share,Paid Ads,2022-09-02,2024-05-05,2489.6,2022.4,969.6,3691.632,11307.184,Târgu Mureș,18-24,Male
CMP121,Flash Sale Frenzy,Paid Ads,2023-01-30,2024-10-02,71198.4,40614.4,31467.2,4872.704,14840.288,Galați,35-44,Male
CMP122,Deal of the Day,Email,2022-12-29,2024-09-08,45956.8,2438.4,2104,2736.272,8540.528,Bacău,18-24,Male
CMP123,Cart to Couch,Paid Ads,2022-06-08,2024-02-03,10721.6,1416,153.6,1667.632,2963.152,Baia Mare,45-54,Female
CMP124,Deal of the Day,Paid Ads,2023-03-04,2024-11-10,2216,204.8,148.8,3447.888,5292.688,Suceava,25-34,Male
CMP125,Wishlist Wonders,Social Media,2022-10-30,2024-07-06,77665.6,26659.2,14467.2,2019.12,3863.488,Galați,35-44,Male
CMP126,Wishlist Wonders,Social Media,2023-01-22,2024-09-19,10952,7019.2,6078.4,7170.8,19898.96,Târgu Mureș,25-34,Male
CMP127,Wishlist Wonders,Paid Ads,2022-10-07,2024-05-30,10664,5555.2,2603.2,4310.048,12820.784,Baia Mare,45-54,Male
CMP128,Deal of the Day,Social Media,2022-12-21,2024-08-22,70443.2,55912,23091.2,3044.432,9953.616,Bacău,35-44,Male
CMP129,Wishlist Wonders,Influencer Marketing,2023-02-22,2024-10-21,68305.6,64881.6,63155.2,812.576,2677.36,Suceava,18-24,Male
CMP130,Deal of the Day,Paid Ads,2023-01-29,2024-10-06,41916.8,23310.4,3732.8,5977.824,21368.4,Suceava,18-24,Female
CMP131,Flash Sale Frenzy,Email,2022-08-13,2024-04-05,33492.8,17564.8,12366.4,763.984,1662.288,Târgu Mureș,55+,Female
CMP132,Flash Sale Frenzy,Influencer Marketing,2023-02-01,2024-09-25,35904,8403.2,4416,2053.584,5069.888,Galați,35-44,Female
CMP133,Cart to Couch,Influencer Marketing,2022-05-25,2024-02-03,77288,66678.4,64001.6,3973.984,15061.84,Bacău,25-34,Female
CMP134,Seasonal Steals,Paid Ads,2023-03-05,2024-11-15,18916.8,8966.4,8235.2,961.792,2959.392,Baia Mare,35-44,Female
CMP135,Deal of the Day,Social Media,2022-05-27,2024-02-15,44568,15536,6870.4,1108.72,2749.344,Bacău,18-24,Male
CMP136,Flash Sale Frenzy,Social Media,2022-10-03,2024-06-04,45704,24408,4739.2,4982.144,13957.168,Galați,18-24,Male
CMP137,Shop & Share,Social Media,2022-11-02,2024-07-17,45432,22483.2,9411.2,2740.8,7186.432,Târgu Mureș,45-54,Female
CMP138,Wishlist Wonders,Influencer Marketing,2022-12-02,2024-08-04,44907.2,15875.2,15052.8,4118.64,12761.6,Suceava,25-34,Female
CMP139,Seasonal Steals,Email,2023-03-01,2024-11-17,72038.4,25787.2,9124.8,6042.8,7371.568,Bacău,18-24,Male
CMP140,Flash Sale Frenzy,Paid Ads,2022-07-11,2024-03-05,22572.8,3147.2,201.6,7876.304,29370.08,Bacău,25-34,Female
CMP141,Cart to Couch,Paid Ads,2022-12-01,2024-08-22,14926.4,3008,2430.4,6530.112,17662.688,Baia Mare,35-44,Female
CMP142,Seasonal Steals,Influencer Marketing,2022-10-14,2024-06-16,69296,52046.4,20448,7946.08,18811.984,Suceava,18-24,Female
CMP143,Flash Sale Frenzy,Paid Ads,2022-06-28,2024-03-10,9659.2,6993.6,5774.4,4163.696,9834.928,Baia Mare,35-44,Male
CMP144,Flash Sale Frenzy,Paid Ads,2022-12-05,2024-08-02,18099.2,17811.2,14377.6,6695.456,18014.576,Galați,25-34,Male
CMP145,Wishlist Wonders,Influencer Marketing,2022-06-19,2024-03-02,30307.2,18788.8,2995.2,4736.736,17719.344,Suceava,55+,Male
CMP146,Cart to Couch,Email,2022-06-06,2024-02-11,30860.8,13572.8,9411.2,5182.352,13372.4,Baia Mare,18-24,Female
CMP147,Wishlist Wonders,Paid Ads,2022-07-23,2024-03-18,64078.4,11499.2,6772.8,6032.464,14495.456,Galați,55+,Male
CMP148,Cart to Couch,Social Media,2022-11-20,2024-08-10,78990.4,31100.8,26028.8,1594.624,5888.96,Galați,18-24,Female
CMP149,Flash Sale Frenzy,Social Media,2022-05-21,2024-01-31,15185.6,10249.6,4742.4,307.072,968.128,Bacău,55+,Male
CMP150,Wishlist Wonders,Paid Ads,2022-06-01,2024-02-13,11657.6,9462.4,5022.4,7866.4,22491.68,Târgu Mureș,45-54,Male
CMP151,Wishlist Wonders,Paid Ads,2022-11-07,2024-07-26,9708.8,5526.4,1145.6,2893.536,7808.816,Baia Mare,55+,Male
CMP152,Flash Sale Frenzy,Paid Ads,2023-01-20,2024-10-06,50315.2,4392,2020.8,6590.288,13848.864,Târgu Mureș,35-44,Male
CMP153,Flash Sale Frenzy,Email,2022-08-16,2024-04-22,8740.8,777.6,182.4,1752.544,3926.688,Bacău,45-54,Male
CMP154,Shop & Share,Social Media,2023-03-04,2024-11-09,47673.6,36460.8,28408,7390.528,24939.152,Suceava,55+,Female
CMP155,Seasonal Steals,Paid Ads,2023-01-31,2024-09-27,36208,340.8,248,4131.088,6644.944,Bacău,35-44,Male
CMP156,Deal of the Day,Influencer Marketing,2022-11-07,2024-07-27,79163.2,49824,21558.4,1939.024,5103.216,Galați,35-44,Female
CMP157,Cart to Couch,Influencer Marketing,2023-01-22,2024-10-11,48409.6,46505.6,22412.8,745.44,2914.08,Bacău,45-54,Male
CMP158,Wishlist Wonders,Email,2023-01-23,2024-09-30,75035.2,72216,30073.6,3663.616,5374.032,Târgu Mureș,18-24,Female
CMP159,Deal of the Day,Email,2023-01-27,2024-10-04,20680,16315.2,579.2,1575.904,4174.096,Bacău,25-34,Male
CMP160,Cart to Couch,Paid Ads,2022-06-19,2024-03-05,1692.8,1198.4,1065.6,4906.832,9246.48,Târgu Mureș,35-44,Male
CMP161,Wishlist Wonders,Paid Ads,2023-02-10,2024-10-25,75488,12576,9600,2097.296,7069.568,Bacău,55+,Male
CMP162,Wishlist Wonders,Social Media,2022-09-28,2024-05-28,14284.8,13276.8,6563.2,5713.648,14274.176,Târgu Mureș,18-24,Male
CMP163,Flash Sale Frenzy,Social Media,2022-07-24,2024-03-29,26163.2,19390.4,8230.4,4396.176,10593.152,Baia Mare,18-24,Male
CMP164,Deal of the Day,Paid Ads,2022-09-08,2024-05-19,38747.2,27219.2,26171.2,7285.504,24143.264,Bacău,25-34,Male
CMP165,Seasonal Steals,Influencer Marketing,2022-07-11,2024-03-30,47502.4,26374.4,8635.2,7595.376,11493.376,Galați,25-34,Female
CMP166,Wishlist Wonders,Email,2022-05-27,2024-02-11,31528,14817.6,4152,7802.272,18373.008,Galați,55+,Male
CMP167,Cart to Couch,Email,2022-08-11,2024-05-01,61923.2,48001.6,41368,7082.8,14618.384,Galați,35-44,Male
CMP168,Shop & Share,Influencer Marketing,2022-07-17,2024-03-14,8539.2,3462.4,2768,356.656,469.936,Galați,18-24,Male
CMP169,Wishlist Wonders,Influencer Marketing,2022-12-28,2024-08-23,53838.4,41414.4,19345.6,2805.536,7366.624,Galați,55+,Male
CMP170,Seasonal Steals,Influencer Marketing,2022-11-17,2024-07-30,29243.2,24662.4,5070.4,4926.112,10076.624,Târgu Mureș,18-24,Male
CMP171,Seasonal Steals,Influencer Marketing,2023-01-28,2024-09-23,33251.2,2547.2,964.8,6325.984,8931.872,Baia Mare,25-34,Female
CMP172,Shop & Share,Paid Ads,2022-05-15,2024-01-31,71848,36980.8,30670.4,2079.504,6752.24,Galați,18-24,Female
CMP173,Cart to Couch,Influencer Marketing,2022-10-12,2024-06-18,70990.4,10652.8,10446.4,2699.808,3422.384,Bacău,55+,Male
CMP174,Shop & Share,Social Media,2022-10-14,2024-06-14,6420.8,3241.6,988.8,6128.064,17740.32,Târgu Mureș,35-44,Female
CMP175,Cart to Couch,Paid Ads,2022-05-15,2024-01-06,49056,8172.8,3350.4,3838.016,13491.392,Bacău,18-24,Female
CMP176,Wishlist Wonders,Paid Ads,2022-07-30,2024-03-25,65539.2,23108.8,22432,2400.352,6915.696,Bacău,55+,Male
CMP177,Shop & Share,Social Media,2022-09-27,2024-05-31,12356.8,2992,937.6,7861.936,30883.136,Galați,35-44,Male
CMP178,Wishlist Wonders,Email,2022-06-02,2024-02-05,67345.6,13721.6,13262.4,3038.336,5582.56,Târgu Mureș,25-34,Male
CMP179,Deal of the Day,Influencer Marketing,2022-09-21,2024-05-31,12692.8,2833.6,638.4,4088.688,6368.848,Bacău,45-54,Male
CMP180,Flash Sale Frenzy,Email,2022-12-02,2024-08-16,18420.8,11440,3614.4,4887.552,12399.84,Suceava,35-44,Male
CMP181,Seasonal Steals,Paid Ads,2023-01-12,2024-09-14,9456,5499.2,353.6,4599.088,12380.176,Suceava,25-34,Female
CMP182,Wishlist Wonders,Email,2023-03-03,2024-11-21,27947.2,4529.6,1302.4,3581.392,4786.576,Suceava,55+,Female
CMP183,Seasonal Steals,Influencer Marketing,2023-01-09,2024-09-23,25884.8,12475.2,11241.6,7454.992,13856.272,Bacău,25-34,Male
CMP184,Deal of the Day,Paid Ads,2022-09-30,2024-06-11,17195.2,3164.8,3099.2,1091.696,3403.712,Suceava,45-54,Male
CMP185,Seasonal Steals,Email,2022-06-07,2024-02-17,63171.2,7950.4,4380.8,4349.824,5523.952,Suceava,18-24,Male
CMP186,Wishlist Wonders,Email,2022-11-21,2024-08-04,67462.4,18476.8,8264,3146.56,8293.552,Suceava,45-54,Male
CMP187,Shop & Share,Paid Ads,2022-06-21,2024-03-05,62035.2,3040,1800,2453.76,4385.472,Galați,45-54,Male
CMP188,Deal of the Day,Paid Ads,2023-02-07,2024-10-23,63652.8,54875.2,32816,2796.096,6675.248,Galați,45-54,Male
CMP189,Shop & Share,Social Media,2022-08-02,2024-04-01,49457.6,48116.8,32286.4,6547.52,14392.896,Baia Mare,45-54,Male
CMP190,Flash Sale Frenzy,Social Media,2022-07-17,2024-03-15,25766.4,22536,2254.4,987.248,2163.584,Târgu Mureș,45-54,Female
CMP191,Deal of the Day,Influencer Marketing,2022-12-06,2024-08-21,48137.6,34542.4,9369.6,4861.68,11360.896,Târgu Mureș,25-34,Male
CMP192,Flash Sale Frenzy,Influencer Marketing,2022-07-12,2024-03-23,60728,39129.6,14582.4,7446.16,18320.336,Suceava,35-44,Male
CMP193,Cart to Couch,Influencer Marketing,2022-08-28,2024-05-09,64576,48915.2,758.4,7242.736,24602.336,Baia Mare,55+,Male
CMP194,Shop & Share,Email,2022-11-01,2024-07-21,18080,6820.8,4211.2,361.072,485.856,Suceava,18-24,Male
CMP195,Seasonal Steals,Social Media,2022-05-19,2024-02-01,55454.4,40867.2,25670.4,4894.304,8759.088,Suceava,35-44,Female
CMP196,Flash Sale Frenzy,Social Media,2023-01-23,2024-10-02,9680,2337.6,529.6,366.912,929.28,Bacău,25-34,Male
